Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_1N4148-SOD123,-144.124998,-34.497233,180.0,bottom
D2,D,Diode_1N4148-SOD123,-116.125,-22.197232,180.0,bottom
D3,D,Diode_1N4148-SOD123,-97.125,-17.197232,180.0,bottom
D4,D,Diode_1N4148-SOD123,-78.125,-22.197232,180.0,bottom
D5,D,Diode_1N4148-SOD123,-59.125,-24.197232,180.0,bottom
D6,D,Diode_1N4148-SOD123,-135.125,-45.197232,180.0,bottom
D7,D,Diode_1N4148-SOD123,-116.125,-41.197232,180.0,bottom
D8,D,Diode_1N4148-SOD123,-97.125,-36.197232,180.0,bottom
D9,D,Diode_1N4148-SOD123,-78.125,-41.197232,180.0,bottom
D10,D,Diode_1N4148-SOD123,-59.125,-43.197232,180.0,bottom
D11,D,Diode_1N4148-SOD123,-122.525,-51.997232,180.0,bottom
D12,D,Diode_1N4148-SOD123,-114.725,-60.197232,180.0,bottom
D13,D,Diode_1N4148-SOD123,-97.125,-55.197232,180.0,bottom
D14,D,Diode_1N4148-SOD123,-77.125,-60.197232,180.0,bottom
D15,D,Diode_1N4148-SOD123,-59.125,-62.197232,180.0,bottom
D16,D,Diode_1N4148-SOD123,-143.324999,-52.591151,180.0,bottom
D17,D,Diode_1N4148-SOD123,-89.625,-64.997232,180.0,bottom
D18,D,Diode_1N4148-SOD123,-69.124999,-71.991152,180.0,bottom
D19,D,Diode_1N4148-SOD123,-48.1231,-74.575528,190.0,bottom
D20,D,Diode_1N4148-SOD123,-28.829675,-81.775136,200.0,bottom
D21,D,Diode_1N4148-SOD123,146.875,-45.197232,180.0,bottom
D22,D,Diode_1N4148-SOD123,108.875,-22.197232,180.0,bottom
D23,D,Diode_1N4148-SOD123,89.875,-17.197232,180.0,bottom
D24,D,Diode_1N4148-SOD123,70.875,-22.197232,180.0,bottom
D25,D,Diode_1N4148-SOD123,51.875,-24.197232,180.0,bottom
D26,D,Diode_1N4148-SOD123,127.875,-45.197232,180.0,bottom
D27,D,Diode_1N4148-SOD123,108.875,-41.197232,180.0,bottom
D28,D,Diode_1N4148-SOD123,89.875,-36.197232,180.0,bottom
D29,D,Diode_1N4148-SOD123,70.875,-41.197232,180.0,bottom
D30,D,Diode_1N4148-SOD123,51.875,-42.997232,180.0,bottom
D31,D,Diode_1N4148-SOD123,138.875,-52.997232,180.0,bottom
D32,D,Diode_1N4148-SOD123,108.875,-60.197232,180.0,bottom
D33,D,Diode_1N4148-SOD123,89.875,-55.197232,180.0,bottom
D34,D,Diode_1N4148-SOD123,70.875,-60.197232,180.0,bottom
D35,D,Diode_1N4148-SOD123,51.875,-62.197232,180.0,bottom
D36,D,Diode_1N4148-SOD123,156.675002,-53.191151,180.0,bottom
D37,D,Diode_1N4148-SOD123,89.875,-76.997232,180.0,bottom
D38,D,Diode_1N4148-SOD123,82.475002,-72.191152,180.0,bottom
D39,D,Diode_1N4148-SOD123,61.876902,-73.012859,170.0,bottom
D40,D,Diode_1N4148-SOD123,41.48254,-77.433903,160.0,bottom
R1,R,R_1206_3216Metric,-38.0,-30.997232,270.0,bottom
R2,R,R_1206_3216Metric,-34.5,-30.997232,270.0,bottom
R3,R,R_1206_3216Metric,34.500001,-30.991151,270.0,bottom
R4,R,R_1206_3216Metric,38.0,-30.991151,270.0,bottom
VIK_K3,Connector_VIK-keyboard,vik-keyboard-connector-horizontal,-29.5,-46.997233,270.0,bottom
VIK_K6,Connector_VIK-keyboard,vik-keyboard-connector-horizontal,29.5,-46.997233,90.0,bottom
